strategy_id,strategy_name,regime,oversold_extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_5d,win_rate_10d,win_rate_15d
selective-mean-reversion,Selective Mean Reversion,Defensive,-5% to -2%,94,0.002069009731960406,0.004397875075118626,0.02213772334237045,-7.32314591893814e-05,0.007823965602766715,0.01808020291766883,0.5212765957446809,0.5,0.5212765957446809
selective-mean-reversion,Selective Mean Reversion,Defensive,-8% to -5%,48,0.01275718999657841,0.0016133967558606317,0.0022042782673629135,0.005002003908258006,0.005624555985121518,0.010307301419716882,0.625,0.4791666666666667,0.4791666666666667
selective-mean-reversion,Selective Mean Reversion,Defensive,<= -8%,6,0.020115562924676072,0.03821243568597177,0.03194927615271792,0.01568415695933184,0.014979858855602768,0.0023524295813059184,0.6666666666666666,0.6666666666666666,0.6666666666666666
selective-mean-reversion,Selective Mean Reversion,Neutral,-5% to -2%,5,0.017197991535894564,0.04795896235266317,0.08430483660513506,0.012336030097685335,0.034285495541721,0.07925759731028419,0.4,0.8,0.8
selective-mean-reversion,Selective Mean Reversion,Neutral,-8% to -5%,3,0.006058502248119953,0.01143839033389941,-0.03598674629714238,0.009030777462660344,0.030643738894089816,-0.004893457276705056,0.6666666666666666,0.3333333333333333,0.0
selective-mean-reversion,Selective Mean Reversion,Risk-on,-5% to -2%,55,0.00387642892981717,-0.009901351704107601,-0.0031250862340801654,0.00024021796365180395,-0.01423579578852247,-0.009512330452523879,0.45454545454545453,0.4727272727272727,0.4909090909090909
selective-mean-reversion,Selective Mean Reversion,Risk-on,-8% to -5%,18,-0.013761537538002288,-0.026024097427184662,-0.01688038679144464,-0.0161178917961415,-0.03112280438162028,-0.020332907632129717,0.2777777777777778,0.3888888888888889,0.3888888888888889
selective-mean-reversion,Selective Mean Reversion,Risk-on,<= -8%,5,-0.011497006786542151,0.021466307162278108,-0.013090537395442881,-0.019434720013721575,0.005645850413430043,-0.03325254947700564,0.4,0.4,0.2
selective-mean-reversion,Selective Mean Reversion,Selective risk-on,-5% to -2%,15,-0.011672982710283275,-0.0076340108610410224,0.023454167297939935,-0.005500912955800308,0.003919234171253157,0.017350740916736496,0.4666666666666667,0.4666666666666667,0.6666666666666666
selective-mean-reversion,Selective Mean Reversion,Selective risk-on,-8% to -5%,4,0.0012330367964790145,-0.04272254944225937,-0.05349417800502046,0.0026207230285479333,-0.02504134547319517,-0.049793734856324434,0.5,0.5,0.5
