variant_id,variant_name,oversold_extension_band,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,-8% to -5%,45,0.009819547158704964,-0.0032517196396003763,-0.003660188469235116,0.00233390680835168,0.0013599543325777397,0.005728524044503791,0.4666666666666667
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,-5% to -2%,54,0.0034971841422323114,0.005648884580582095,0.01529230853172739,0.0035224949266913653,0.014296908092720724,0.017939296146772893,0.5
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,> -2%,2,-0.05016165728182459,0.05906169607086903,0.09987405753573275,-0.04667631234550851,0.046382847887540934,0.0800382547231131,0.5
defensive_v1,Defensive v1 Oversold Rebound,-5% to -2%,95,0.001863901196831425,0.003116722379434126,0.01953604528149164,-0.0005532122750077727,0.00712530549650213,0.016162244368925823,0.49473684210526314
defensive_v1,Defensive v1 Oversold Rebound,-8% to -5%,49,0.012562470569997135,0.0007374157818839213,0.0010820807250344962,0.0046416479534850475,0.005026436921685215,0.009524282222372706,0.46938775510204084
defensive_v1,Defensive v1 Oversold Rebound,<= -8%,6,0.020115562924676072,0.03821243568597177,0.03194927615271792,0.01568415695933184,0.014979858855602768,0.0023524295813059184,0.6666666666666666
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,-5% to -2%,11,0.009900027999381248,0.014459134993243057,0.031069750820583154,-0.004226807066862192,-0.0015479230479737477,0.011200090604679717,0.6363636363636364
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,-5% to -2%,3,0.016528332782634807,0.010164657407161696,0.0050734288507492025,0.041706747011539945,0.028129686804478582,0.04915922951857258,0.3333333333333333
stress_v1,Stress-Regime v1 Oversold Rebound,-5% to -2%,100,0.002630605447534635,0.005358833887519504,0.02277448389932216,9.124957737693617e-05,0.008483314508187,0.0193170110676421,0.51
stress_v1,Stress-Regime v1 Oversold Rebound,-8% to -5%,52,0.012187241628350375,0.0013547796983463534,-0.0010565054493218622,0.004894866963629776,0.006504358189323942,0.008692489558964372,0.46153846153846156
stress_v1,Stress-Regime v1 Oversold Rebound,<= -8%,6,0.020115562924676072,0.03821243568597177,0.03194927615271792,0.01568415695933184,0.014979858855602768,0.0023524295813059184,0.6666666666666666
v1_baseline_current,Current v1 Oversold Rebound,-5% to -2%,171,0.0016769203781443896,-0.0007801898380001654,0.014767577783362964,-0.0005037926445558226,0.0006071844470568127,0.009990381223549146,0.49122807017543857
v1_baseline_current,Current v1 Oversold Rebound,-8% to -5%,77,0.004853427621202244,-0.008075496139893222,-0.005208495479880738,-0.00046104309435149424,-0.004175784580859622,0.0002567160219039205,0.44155844155844154
v1_baseline_current,Current v1 Oversold Rebound,<= -8%,11,0.005746213055940515,0.030600559084292833,0.011476633630826648,-0.0002789689375106203,0.010737127745524256,-0.0138316518088357,0.5454545454545454
