variant_id,variant_name,rebound_quality,sample_size,avg_fwd_5d_return,avg_fwd_10d_return,avg_fwd_15d_return,avg_excess_5d_return,avg_excess_10d_return,avg_excess_15d_return,win_rate_10d
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,true_rebound_candidate,25,0.007648600231653205,0.0037298780434917057,0.010196059960474377,0.0005491050593833923,0.001807383589360918,0.00886653313539092,0.64
defensive_deep_band_near_50dma,Defensive Deep Oversold Near 50DMA,ambiguous_rebound,20,0.012533230817519664,-0.011978716743465479,-0.020980499006371982,0.004564908994562039,0.0008006677615987667,0.0018060126808948807,0.25
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,true_rebound_candidate,53,0.004614186706945821,0.008210241541989615,0.01719336334299853,0.00427565404372825,0.01588943650269005,0.019020429479479548,0.5094339622641509
defensive_moderate_band_near_50dma,Defensive Moderate Oversold Near 50DMA,ambiguous_rebound,1,-0.055703951787583694,-0.1301030343740165,-0.08546359646564305,-0.0363949382762635,-0.07010709763565348,-0.03936077048667985,0.0
defensive_spy_below_ma50_reclaim_20dma,Defensive SPY Stress + 20DMA Reclaim,true_rebound_candidate,2,-0.05016165728182459,0.05906169607086903,0.09987405753573275,-0.04667631234550851,0.046382847887540934,0.0800382547231131,0.5
defensive_v1,Defensive v1 Oversold Rebound,true_rebound_candidate,111,0.0034130434377231916,0.002435735584047317,0.018602360186621536,-0.0005915633503475804,0.0054528319794297725,0.01576129629992492,0.5315315315315315
defensive_v1,Defensive v1 Oversold Rebound,ambiguous_rebound,39,0.013704544297169927,0.007464870862695707,0.0009174341915310991,0.008580873262553882,0.010456775249927944,0.006838813644625267,0.38461538461538464
stress_moderate_reclaim_50dma,Stress Moderate Band + 50DMA Reclaim,true_rebound_candidate,11,0.009900027999381248,0.014459134993243057,0.031069750820583154,-0.004226807066862192,-0.0015479230479737477,0.011200090604679717,0.6363636363636364
stress_moderate_sector_confirmed,Stress Moderate Band + Sector Confirmed,true_rebound_candidate,3,0.016528332782634807,0.010164657407161696,0.0050734288507492025,0.041706747011539945,0.028129686804478582,0.04915922951857258,0.3333333333333333
stress_v1,Stress-Regime v1 Oversold Rebound,true_rebound_candidate,117,0.004128947635102164,0.004686140403197343,0.01988643694296939,0.00046127568843949614,0.007827232836671102,0.01840392655037311,0.5384615384615384
stress_v1,Stress-Regime v1 Oversold Rebound,ambiguous_rebound,41,0.013034234479726495,0.007008002927017128,0.0021339668574723958,0.007409603074512487,0.0087963655586986,0.005965017924988752,0.3902439024390244
v1_baseline_current,Current v1 Oversold Rebound,true_rebound_candidate,176,0.0032345879085281305,0.0005459496175134162,0.016608923970175028,0.00012174166656806119,0.0021979455984422335,0.01249399509683134,0.5113636363636364
v1_baseline_current,Current v1 Oversold Rebound,ambiguous_rebound,83,0.0018600985928874467,-0.006201284913553572,-0.008105132527800749,-0.001760771712201281,-0.005860685450657136,-0.007505650409951843,0.40963855421686746
