variant,portfolio_label,observations,avg_fwd_1w_return,avg_fwd_2w_return,avg_fwd_3w_return
sector_filtered_pullback,top2,130,0.005765497596756789,0.011997123155115915,0.017982084309415915
baseline,top2,159,0.004206417262085602,0.006965067099661843,0.0094686022452508
regime_gated,top2,131,0.004108440938689126,0.007297256026344407,0.0071797370234741075
etf_rotation_top,top2,88,0.0032971810999132107,0.005939108776200452,0.007684991063657011
rr_selective,top2,129,0.0032437700278529096,0.005772667240677899,0.006266984790449721
strict_rs_entry,top2,259,0.0013712232071483757,0.0025655923218273714,0.003129418897778767
near_high_continuation,top2,118,0.0012032454763383847,0.009082592091437903,0.012432497424613994
pullback_only,top2,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066
baseline,top5,159,0.005343148577551529,0.00907918841010071,0.012632010778708848
regime_gated,top5,131,0.004761918164916175,0.008574843471968697,0.009611679048107122
sector_filtered_pullback,top5,130,0.004304685117867076,0.0075166672785721795,0.012064485645622928
etf_rotation_top,top5,88,0.003532249732733736,0.006328530350859362,0.007814292125417474
rr_selective,top5,129,0.0034503723302015373,0.00705284843657213,0.011404591062182674
near_high_continuation,top5,118,0.002186664087831061,0.009393219344375705,0.011523969462318913
strict_rs_entry,top5,259,0.0015669445587433773,0.0028475738375848434,0.003477246900386967
pullback_only,top5,1,-0.023950183209619058,0.02762253732607811,-0.022353528692364066
